device_codename,brand,Retail Branding,Marketing Name,Device,oem,model,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,display,memory_card_slot,memory_phonebook,memory_call_records,sound_loudspeaker,sound_alert_types,sound_3.5mm_jack,comms_wlan,comms_bluetooth,comms_gps,comms_radio,comms_usb,features_sensors,features_messaging,features_browser,features_clock,features_alarm,features_games,features_java,features,misc_colors,network_3g_bands,network_speed,platform_os,platform_chipset,platform_cpu,platform_gpu,memory_internal,main_camera_single,main_camera_video,misc_price,main_camera_features,body,network_4g_bands,body_build,display_protection,memory,main_camera_dual,selfie_camera_dual,selfie_camera_features,selfie_camera_video,comms_nfc,battery_charging,misc_models,tests_performance,tests_camera,tests_loudspeaker,tests_audio_quality,tests_battery_life,tests_display,selfie_camera_single,comms_infrared_port,network_5g_bands,main_camera_quad,main_camera_triple,sound,misc_sar_eu,main_camera_five,features_languages,body_keyboard,misc_sar,battery,main_camera_dual_or_triple,battery_music_play,selfie_camera_triple,main_camera_v1,selfie_camera,camera,main_camera,network,battery_talk_time,battery_stand.by
lt023g,samsung,Samsung,Galaxy Tab 3 7.0,lt023g,Samsung,Galaxy Tab 3 7.0,GSM / HSPA / LTE,"GSM 850 / 900 / 1800 / 1900 - SM-T211, SM-T215",Yes,Yes,"2013, April","Available. Released 2013, July",188 x 111.1 x 9.9 mm (7.40 x 4.37 x 0.39 in),306 g (10.79 oz),Micro-SIM,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm (~66.0% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,"microSD, up to 64 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS, GLONASS",No,2.0 (TV-out),"Accelerometer, gyro, proximity, compass",,,,,,,,White,"HSDPA 850 / 900 / 1900 / 2100 - SM-T211, SM-T215","HSPA 21.1/5.76 Mbps, LTE Cat3 100/50 Mbps (SM-T215)",Android 4.1.2 (Jelly Bean); TouchWiz UX UI,Marvell PXA986,Dual-core 1.2 GHz Cortex-A9,PowerVR SGX540,"8/16 GB, 1 GB RAM",3.15 MP,720p@30fps,About 150 EUR,,,"LTE band 3(1800), 7(2600) - SM-T215",,,,,,,,,,"GT-P3200, SM-T211, SM-T215",,,,,,Contrast ratio: 1098 (nominal),1.3 MP,Yes,,,,,0.71 W/kg (head)     0.98 W/kg (body)    ,,,,0.63 W/kg (head)     1.59 W/kg (body)    ,Non-removable Li-Ion 4000 mAh battery,,Up to 108 h,,,,,,,Up to 8 h (multimedia),
ASUS_X008_1,asus,Asus,Zenfone 3 Max ZC520TL,ASUS_X008_1,Asus,Zenfone 3 Max ZC520TL,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, July","Available. Released 2016, August",149.5 x 73.7 x 8.6 mm (5.89 x 2.90 x 0.34 in),148 g (5.22 oz),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm (~67.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,"microSD, up to 32 GB (uses shared SIM slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, EDR","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,,,,"Titanium Grey, Glacier Silver, Sand Gold",HSDPA 850 / 900 / 1900 / 2100 - Global,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat); ZenUI 3",Mediatek MT6737M (28 nm),Quad-core 1.25 GHz Cortex-A53,Mali-T720MP2,"32 GB, 3 GB RAM or 16 GB, 2 GB RAM","13 MP, AF, f/2.2",1080p@30fps,About 230 EUR,"LED flash, panorama, HDR",,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 18(800), 19(800), 26(850), 28(700), 38(2600), 41(2500) - Taiwan",Aluminum body,,,,,,,,Power Bank/Reverse charging,"X008D, X008DA",,,,,,,"5 MP, f/2.0",,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Po 4130 mAh battery,,Up to 87 h,,,,,,"LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300) - India",Up to 20 h (3G),Up to 720 h (3G)
"iPhone6,2",Apple,Apple,iPhone 5s,"iPhone6,2",Apple,iPhone 5s,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - all models,Yes,Yes,"2013, September","Available. Released 2013, September",123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in),112 g (3.95 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 44.1 cm (~60.8% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)",,No,,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",No,"2.0, proprietary reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,,,,,,Siri natural language commands and dictation,"Space Gray, White/Silver, Gold","HSDPA 850 / 900 / 1700 / 1900 / 2100 - A1533 (GSM), A1453","HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps","iOS 7, upgradable to iOS 12.2",Apple A7 (28 nm),Dual-core 1.3 GHz Cyclone (ARM v8-based),PowerVR G6430 (quad-core graphics),"16/32/64 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm (standard), 1/3"", 1.5µm, AF","1080p@30fps, 720p@120fps",About 330 EUR,"Dual-LED dual-tone flash, HDR",,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 13(700), 17(700), 19(800), 20(800), 25(1900) - A1533 GSM, A1533 CDMA","Front glass, aluminum body","Corning Gorilla Glass, oleophobic coating",,,,"face detection, HDR, FaceTime over Wi-Fi or Cellular",720p@30fps,,,,Basemark OS II: 1077 / Basemark X: 14341,Photo / Video,Voice 68dB / Noise 66dB / Ring 69dB,Noise -93.6dB / Crosstalk -90.3dB,Endurance rating 54h,Contrast ratio: 1219:1 (nominal) / 3.565:1 (sunlight),"1.2 MP, f/2.4, 31mm (standard)",,,,,16-bit/44.1kHz audio  Active noise cancellation with dedicated mic,1.00 W/kg (head)     0.80 W/kg (body)    ,,,,1.12 W/kg (head)     1.18 W/kg (body)    ,Non-removable Li-Po 1560 mAh battery (5.92 Wh),,Up to 40 h,,,,,,"LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 39(1900), 40(2300) - A1530",Up to 10 h (2G) / Up to 10 h (3G),Up to 250 h (2G) / Up to 250 h (3G)
fortuna3g,samsung,Samsung,Galaxy Grand Prime,fortuna3g,Samsung,Galaxy Grand Prime,GSM / HSPA / LTE,"GSM 850 / 900 / 1800 / 1900 - G530F, G530FZ, G530Y",Yes,Yes,"2014, September","Available. Released 2014, October",144.8 x 72.1 x 8.6 mm (5.70 x 2.84 x 0.34 in),156 g (5.50 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~66.0% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",,"microSD, up to 64 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,"White, Gray, Gold","HSDPA 850 / 900 / 1900 / 2100 - G530F, G530H, G530FZ, G530Y, G531F","HSPA, LTE Cat4 150/50 Mbps","Android 4.4.4 (KitKat), upgradable to 5.0.2/5.1.1 (Lollipop)Android 5.1 (Lollipop) - G531F",Qualcomm MSM8916 Snapdragon 410 (28 nm)Spreadtrum SC7730 (Value Edition),Quad-core 1.2 GHz Cortex-A53Quad-core 1.3 GHz Cortex-A7 (Value Edition),Adreno 306Mali-400 (Value Edition),"8 GB, 1 GB RAM","8 MP, AF, f/2.4",1080p@30fps,About 140 EUR,"LED flash, panorama",,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900) - G530F",Plastic body,,,,,,1080p@30fps,"Yes (G530F, G530FZ models)",,"SM-G5306W, SM-G5308W, SM-G5309W, SM-G530BT, SM-G530F, SM-G530FQ, SM-G530FZ, SM-G530FZ, SM-G530H, SM-G531F, SM-G531H",Basemark OS II: 504 / Basemark OS II 2.0: 520Basemark X: 1904,Photo / Video,Voice 63dB / Noise 60dB / Ring 68dB,Noise -95.0dB / Crosstalk -93.9dB,,"Contrast ratio: 756 (nominal), 1.935 (sunlight)","5 MP, f/2.2",,,,,,0.28 W/kg (head)     0.33 W/kg (body)    ,,,,,Removable Li-Ion 2600 mAh battery,,Up to 75 h,,,,,,"LTE band 1(2100), 3(1800), 5(850), 8(900), 20(800), 40(2300) - G531FLTE band 2, 4, 5, 12 - G530T (T-Mobile)",Up to 17 h (3G),
F3212,Sony,Sony,Xperia XA Ultra,F3212,Sony,Xperia XA Ultra,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Up to 85.6 kbps,Up to 236.8 kbps,"2016, May","Available. Released 2016, July",164 x 79 x 8.4 mm (6.46 x 3.11 x 0.33 in),202 g (7.13 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm (~76.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE, aptX","Yes, with A-GPS, GLONASS","FM radio, RDS","microUSB 2.0, USB Host","Accelerometer, proximity, compass",,,,,,,,"White, Graphite Black, Lime Gold","HSDPA 850 / 900 / 1900 / 2100 - F3211, F3215, F3212, F3216","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",Mediatek MT6755 Helio P10 (28 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,"16 GB, 3 GB RAM","21.5 MP, f/2.2, 1/2.4"", 1/2.4"", PDAF","1080p@30fps, HDR",About 250 EUR,"LED flash, HDR, panorama",,"LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800) - F3211, F3212","Aluminum frame, plastic back",Scratch-resistant glass,,,,LED flash,1080p@30fps,Yes,,"F3212, F3216, F3211, F3213, F3215",Basemark OS II 2.0: 987 / Basemark X: 6754,Photo / Video,Voice 88dB / Noise 79dB / Ring 82dB,Noise -92.9dB / Crosstalk -92.5dB,Endurance rating 55h,"Contrast ratio: 1071 (nominal),  2.906 (sunlight)","16 MP, f/2.0, 1/2.6"", AF, OIS",,,,,Active noise cancellation with dedicated mic,0.72 W/kg (head)     0.43 W/kg (body)    ,,,,1.27 W/kg (head)     0.37 W/kg (body)    ,Non-removable Li-Ion 2700 mAh battery,,Up to 65 h,,,,,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 38(2600), 39(1900), 40(2300), 41(2500) - F3215, F3216",Up to 13 h (2G) / Up to 12 h (3G),Up to 558 h (2G) / Up to 708 h (3G)
dreamlte,samsung,Samsung,Galaxy S8,dreamlte,Samsung,Galaxy S8,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2017, March","Available. Released 2017, April",148.9 x 68.1 x 8 mm (5.86 x 2.68 x 0.31 in),155 g (5.47 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.8 inches, 84.8 cm (~83.6% screen-to-body ratio)","1440 x 2960 pixels, 18.5:9 ratio (~570 ppi density)",HDR10  3D Touch (home button only)  Always-on display,"microSD, up to 512 GB (uses shared SIM slot) - dual SIM model only",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO",No,"3.1, Type-C 1.0 reversible connector","Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",,,,,,,Samsung DeX (desktop experience support)  ANT+  Bixby natural language commands and dictation,"Midnight Black, Orchid Gray, Arctic Silver, Coral Blue, Maple Gold, Rose Pink, Burgundy Red",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat16 1024/150 Mbps","Android 7.0 (Nougat), upgradable to Android 9.0 (Pie); One UI",Exynos 8895 (10 nm) - EMEAQualcomm MSM8998 Snapdragon 835 (10 nm) - USA & China,Octa-core (4x2.3 GHz Mongoose M2 & 4x1.7 GHz Cortex-A53) - EMEAOcta-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo) - USA & China,Mali-G71 MP20 - EMEAAdreno 540 - USA & China,"64 GB, 4 GB RAM","12 MP, f/1.7, 26mm (wide), 1/2.55"", 1.4µm, OIS, dual pixel PDAF","2160p@30fps, 1080p@60fps, 720p@240fps, HDR, dual-video rec.",About 390 EUR,"LED flash, auto-HDR, panorama","Samsung Pay (Visa, MasterCard certified)  IP68 dust/water proof (up to 1.5m for 30 mins)","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 32(1500), 66(1700/2100), 38(2600), 39(1900), 40(2300), 41(2500)","Front/back glass (Gorilla Glass 5), aluminum frame",Corning Gorilla Glass 5,,,,"Dual video call, Auto-HDR",1440p@30fps,Yes,Fast battery charging 15W (Quick Charge 2.0)  Qi/PMA wireless charging (market dependent),"SM-G950FD, SM-G950W, SM-G950S, SM-G950K, SM-G950L, SM-G9500, SM-G950A, SM-G950P, SM-G950T, SM-G950U, SM-G950V, SM-G950F, SM-G950U1, SM-G950N",Basemark OS II: 3272 / Basemark OS II 2.0: 3376Basemark X: 42370,Photo / Video,Voice 66dB / Noise 70dB / Ring 72dB,Noise -92.5dB / Crosstalk -92.8dB,Endurance rating 84h,"Contrast ratio: Infinite (nominal), 4.768 (sunlight)","8 MP, f/1.7, 25mm (wide), 1/3.6"", 1.22µm, AF",,,,,32-bit/384kHz audio  Active noise cancellation with dedicated mic,0.32 W/kg (head)     1.27 W/kg (body)    ,,,,0.44 W/kg (head)     0.75 W/kg (body)    ,Non-removable Li-Ion 3000 mAh battery (11.55 Wh),,Up to 67 h,,,,,,,Up to 20 h (3G),
A6600d40,Lenovo,Lenovo,A6600,A6600d40,Lenovo,A6600,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, September","Available. Released 2016, October",141 x 71 x 8.8 mm (5.55 x 2.80 x 0.35 in),142 g (5.01 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,,,,"Black, White",HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE Cat4 150/50 Mbps",Android 6.0 (Marshmallow),Mediatek MT6735P (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,"16 GB, 1 GB RAM","8 MP, AF",Yes,About 110 EUR,LED flash,,"LTE band 1(2100), 3(1800), 5(850) - India",,,,,,,,,,,,,,,,,2 MP,,,,,,,,,,,Removable Li-Po 2300 mAh battery,,,,,,,,"LTE band 1(2100), 3(1800), 7(2600) - Asia-Pacific",Up to 6 h (3G),Up to 400 h (3G)
"iPhone5,2",Apple,Apple,iPhone 5,"iPhone5,2",Apple,iPhone 5,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - GSM A1428,Yes,Yes,"2012, September","Available. Released 2012, September",123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in),112 g (3.95 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 44.1 cm (~60.8% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)",,No,,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,"2.0, proprietary reversible connector","Accelerometer, gyro, proximity, compass",,,,,,,Siri natural language commands and dictation,"Black/Slate, White/Silver",HSDPA 850 / 900 / 1700 / 1900 / 2100 - GSM A1428,"HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps","iOS 6, upgradable to iOS 10.3.3",Apple A6 (32 nm),Dual-core 1.3 GHz Swift (ARM v7-based),PowerVR SGX 543MP3 (triple-core graphics),"16/32/64 GB, 1 GB RAM DDR2","8 MP, f/2.4, 33mm (standard), 1/3.2"", 1.4µm, AF",1080p@30fps,About 340 EUR,"LED flash, panorama, HDR",,"LTE band 4(1700/2100), 17(700) - GSM A1428","Front glass, aluminum body","Corning Gorilla Glass, oleophobic coating",,,,"face detection, FaceTime over Wi-Fi or Cellular",720p@30fps,,,,Basemark OS II: 589 / Basemark X: 2229,Photo / Video,Voice 66dB / Noise 66dB / Ring 67dB,Noise -91.3dB / Crosstalk -76.5dB,Endurance rating 51h,Contrast ratio: 1320:1 (nominal) / 3.997:1 (sunlight),"1.2 MP, f/2.4, 35mm (standard)",,,,,16-bit/44.1kHz audio  Active noise cancellation with dedicated mic,0.95 W/kg (head)     0.90 W/kg (body)    ,,,,1.18 W/kg (head)     1.18 W/kg (body)    ,Non-removable Li-Po 1440 mAh battery (5.45 Wh),,Up to 40 h,,,,,,LTE 850 / 1800 / 2100 - GSM A1429,Up to 8 h (2G) / Up to 8 h (3G),Up to 225 h (2G) / Up to 225 h (3G)
1610,vivo,Vivo,Y55s,1610,Vivo,Y55s,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, February","Available. Released 2017, February",147.9 x 72.9 x 7.5 mm (5.82 x 2.87 x 0.30 in),142 g (5.01 oz),"Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm (~69.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",,,,,,,,"Crown Gold, Rose Gold, Space Gray",HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Android 6 (Marshmallow); Funtouch 3,Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,Adreno 306,"16 GB, 2/3 GB RAM","13 MP, AF, f/2.2",1080p@30fps,About 200 EUR,"LED flash, HDR, panorama",,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 40(2300) - Malaysia, Vietnam","Front glass, aluminum body",,,,,,,,,1610,,,,,,,"5 MP, f/2.2",,,,,,,,,,,Non-removable Li-Ion 2730 mAh battery,,,,,,,,"LTE band 1(2100), 3(1800), 5(850), 40(2300) - India",,
p1,lge,LG,G4,p1,LG,G4,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, April","Available. Released 2015, April",148.9 x 76.1 x 6.3 - 9.8 mm,155 g (5.47 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 82.2 cm (~72.5% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~538 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP, LE, aptX","Yes, with A-GPS, GLONASS","Stereo FM radio, RDS","microUSB 2.0 (SlimPort 4K), USB Host","Accelerometer, gyro, proximity, compass, barometer, color spectrum",,,,,,,,"Grey, White, Gold, Leather Black, Leather Brown, Leather Red, White/Gold",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat); LG UX 4 UI",Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,"32 GB, 3 GB RAM","16 MP, f/1.8, 28mm (wide), 1/2.6"", 1.12µm, 3-axis OIS, laser AF","2160p@30fps, 1080p@30fps, HDR, stereo sound rec.",About 300 EUR,"LED flash, panorama, HDR",,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 28(700) - H815",Plastic body,Corning Gorilla Glass 3,,,,,1080p@30fps,Yes,Fast battery charging 18W (Quick Charge 2.0)  Qi wireless charging (optional),"H815, H810, H811, H811, LS991, VS986, US991, H812, F500L",Basemark OS II 2.0: 1584 / Basemark X: 15040,Photo / Video,Voice 66dB / Noise 71dB / Ring 74dB,Noise -93.4dB / Crosstalk -92.6dB,Endurance rating 54h,"Contrast ratio: 1238 (nominal),  2.317 (sunlight)","8 MP, f/2.0, 1/4"", 1.12µm",Yes,,,,24-bit/192kHz audio  Active noise cancellation with dedicated mic,0.62 W/kg (head)    ,,,,,Removable Li-Ion 3000 mAh battery,,,,,,,,"LTE band 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700) - H811",Up to 19 h (2G) / Up to 20 h (3G),Up to 360 h (2G) / Up to 440 h (3G)
HWCUN-L6735,HUAWEI,Huawei,Y5II,HWCUN-L6735,Huawei,Y5II,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, April","Available. Released 2016, June",143.8 x 72 x 8.9 mm (5.66 x 2.83 x 0.35 in),135 g (4.76 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~66.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,"Obsidian Black, Arctic White, Sand Gold, Rose Pink, Sky Blue",HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Android 5.1 (Lollipop); EMUI 3.1,Mediatek MT6735P (28 nm) - 4G modelMediatek MT6582 - 3G model,Quad-core 1.3 GHz Cortex-A53 - 4G modelQuad-core 1.3 GHz Cortex-A7 - 3G model,Mali-T720MP2 - 4G modelMali-400MP2 - 3G model,"8 GB, 1 GB RAM","8 MP, AF, f/2.0",720p@30fps,About 110 EUR,LED flash,,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)",Plastic body,,,,,LED flash,,,,"CUN-U29, CUN-U19, CUN-U09, CUN-L21, CUN-L22, CUN-L01",,,,,,,2 MP,,,,,,,,,,,Removable Li-Po 2200 mAh battery,,,,,,,,,,
PLE,Nokia,Nokia,6,,Nokia,6,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, January","Available. Released 2017, January",154 x 75.8 x 7.9 mm (6.06 x 2.98 x 0.31 in),169 g (5.96 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 82.6 cm (~70.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",,"microSD, up to 256 GB (uses shared SIM slot)",,,"Yes, with stereo speakers",,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,,,,,,,"Arte Black, Matte Black, Tempered Blue, Silver, Copper",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie)",Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,"32 GB, 3 GB RAM - Matte Black, Tempered Blue, Silver, Copper64 GB, 4 GB RAM - Arte Black","16 MP, f/2.0, 1.0µm, PDAF",1080p@30fps,About 160 EUR,"Dual-LED dual-tone flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)","Front glass, aluminum body",Corning Gorilla Glass 3,,,,,1080p@30fps,Yes,Fast battery charging 5V/2A 10W,"TA-1021, TA-1033, TA-1000, TA-1003, TA-1025",Basemark OS II: 978 / Basemark X: 7516,Photo / Video,Voice 63dB / Noise 70dB / Ring 82dB,,Endurance rating 62h,"Contrast ratio: 1330 (nominal), 3.238 (sunlight)","8 MP, f/2.0, 1/4"", 1.12µm, AF",,,,,Dolby Atmos sound enhancement  Active noise cancellation with dedicated mic,0.29 W/kg (head)    ,,,,,Non-removable Li-Ion 3000 mAh battery,,Up to 22 h,,,,,,,Up to 18 h (3G),Up to 768 h (3G)
